,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
76,"Bjørntvedtgata 19, Porsgrunn",261351598,https://www.finn.no/realestate/homes/ad.html?finnkode=261351598,7,59.1362,PORSGRUNN - NEDRE BJØRNTVEDT,9.6548,Enebolig,110.0,realestate,0,1,"59.1362,9.6548"
77,"Gabels gate 50, Oslo",261221308,https://www.finn.no/realestate/homes/ad.html?finnkode=261221308,7,59.91791,FROGNER,10.71129,Leilighet,88.0,realestate,0,1,"59.91791,10.71129"
78,"Hølandsgata 4B, Oslo",260893852,https://www.finn.no/realestate/homes/ad.html?finnkode=260893852,7,59.9094,Kampen,10.7795,Leilighet,68.0,realestate,0,1,"59.9094,10.7795"
79,"Jørgen Moes gate 2, Oslo",261090661,https://www.finn.no/realestate/homes/ad.html?finnkode=261090661,7,59.92206,BRISKEBY,10.71755,Leilighet,58.0,realestate,0,1,"59.92206,10.71755"
80,"Løkkeveien 16B, Stavanger",260837281,https://www.finn.no/realestate/homes/ad.html?finnkode=260837281,7,58.9668,Stavanger sentrum,5.7283,Leilighet,48.0,realestate,0,1,"58.9668,5.7283"
81,"Vestregata 80, Tromsø",260915386,https://www.finn.no/realestate/homes/ad.html?finnkode=260915386,7,69.6542,SENTRUM,18.9572,Tomannsbolig,83.0,realestate,0,1,"69.6542,18.9572"
82,"Mandalls gate 5C, Oslo",260934856,https://www.finn.no/realestate/homes/ad.html?finnkode=260934856,7,59.91196,"GRØNLAND, RETT VED BJØRVIKA",10.76295,Leilighet,43.0,realestate,0,2,"59.91196,10.76295"
83,"Thereses gate 23C, Oslo",260908406,https://www.finn.no/realestate/homes/ad.html?finnkode=260908406,7,59.9287,Bislet,10.7322,Leilighet,35.0,realestate,0,2,"59.9287,10.7322"
84,"John Risøens gate 159, Haugesund",260895895,https://www.finn.no/realestate/homes/ad.html?finnkode=260895895,7,59.4125,Risøy,5.2635,Enebolig,64.0,realestate,0,1,"59.4125,5.2635"
85,"Sognsveien 62, Svarstad",260889065,https://www.finn.no/realestate/homes/ad.html?finnkode=260889065,7,59.39801,Svarstad,9.96169,Enebolig,219.0,realestate,0,1,"59.39801,9.96169"
